{5}       	{16,3}    	7.00	27.78
{16,3}    	{5}       	7.00	27.78
{16,5}    	{3}       	7.00	57.38
{3,5}     	{16}      	7.00	89.74
{16}      	{18,3}    	8.20	19.34
{18}      	{16,3}    	8.20	29.71
{3}       	{16,18}   	8.20	27.33
{16,18}   	{3}       	8.20	62.12
{16,3}    	{18}      	8.20	32.54
{18,3}    	{16}      	8.20	91.11
{16}      	{9,5}     	5.00	11.79
{9}       	{16,5}    	5.00	17.99
{5}       	{16,9}    	5.00	19.84
{16,9}    	{5}       	5.00	37.88
{16,5}    	{9}       	5.00	40.98
{9,5}     	{16}      	5.00	55.56
{8}       	{3,5}     	6.80	15.04
{3}       	{8,5}     	6.80	22.67
{5}       	{8,3}     	6.80	26.98
{8,3}     	{5}       	6.80	26.36
{8,5}     	{3}       	6.80	53.97
{3,5}     	{8}       	6.80	87.18
{8}       	{5,13}    	5.00	11.06
{13}      	{8,5}     	5.00	16.89
{5}       	{8,13}    	5.00	19.84
{8,13}    	{5}       	5.00	34.72
{8,5}     	{13}      	5.00	39.68
{5,13}    	{8}       	5.00	53.19
{8}       	{9,5}     	5.00	11.06
{9}       	{8,5}     	5.00	17.99
{5}       	{8,9}     	5.00	19.84
{8,9}     	{5}       	5.00	36.23
{8,5}     	{9}       	5.00	39.68
{9,5}     	{8}       	5.00	55.56
{8}       	{10,13}   	5.40	11.95
{10}      	{8,13}    	5.40	18.62
{13}      	{8,10}    	5.40	18.24
{8,10}    	{13}      	5.40	40.30
{8,13}    	{10}      	5.40	37.50
{10,13}   	{8}       	5.40	48.21
{8}       	{11,13}   	5.20	11.50
{11}      	{8,13}    	5.20	18.98
{13}      	{8,11}    	5.20	17.57
{8,11}    	{13}      	5.20	41.94
{8,13}    	{11}      	5.20	36.11
{11,13}   	{8}       	5.20	53.06
{8}       	{10,3}    	7.60	16.81
{10}      	{8,3}     	7.60	26.21
{3}       	{8,10}    	7.60	25.33
{8,10}    	{3}       	7.60	56.72
{8,3}     	{10}      	7.60	29.46
{10,3}    	{8}       	7.60	90.48
{8}       	{1,18}    	5.20	11.50
{1}       	{8,18}    	5.20	17.45
{18}      	{8,1}     	5.20	18.84
